hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
432,Nuevitas,CU,77.48599999999996,21.5453,-77.2644,Hotel Caonaba
433,Puerto Cabezas,NI,84.434,14.0351,-83.3888,Cabaña Caribe
443,Bom Jesus,BR,78.27799999999996,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
445,Hobyo,SO,83.46199999999996,5.3505,48.5268,Iftin hotel hobyo
446,Garowe,SO,77.03599999999997,8.4054,48.4845,Curubo Hotel
447,Buala,SB,85.26199999999996,-8.145,159.5921,Maringe Lagoon Lodge
448,Bloomingdale,US,87.33200000000002,27.8936,-82.2404,Travel Club for Free
449,Poso,ID,76.92799999999997,-1.3959,120.7524,Hotel 77 Poso
450,San Carlos,VE,77.50399999999996,9.6612,-68.5827,Hotel Paternopoli
452,Punto Fijo,VE,80.36600000000001,11.6956,-70.1996,Santa Fe Inn Hotel
456,Waingapu,ID,76.36999999999996,-9.6567,120.2641,Pondok Wisata Elim
458,Avanigadda,IN,81.59000000000003,16.0215,80.9181,AP Camping
460,Awbari,LY,79.73599999999996,26.5921,12.7805,فندق أوباري
461,Luanda,AO,75.46999999999997,-8.8368,13.2343,EPIC SANA Luanda
462,Tamandare,BR,78.24199999999999,-8.7597,-35.1047,Pousada 100 Passos
467,Alofi,NU,80.76199999999996,-19.0595,-169.9187,Taloa Heights
469,Santa Maria,BR,76.56799999999998,-29.6842,-53.8069,Hotel Morotin
471,Pilar,BR,78.99800000000002,-9.5972,-35.9567,Pousada e churrascaria Manguaba
475,Rairangpur,IN,80.63599999999997,22.2676,86.1751,Motu Hotel
481,Muisne,EC,78.674,0.6,-80.0333,Quinta Samay
484,Ternate,ID,81.51799999999999,0.8,127.4,Sahid Bela Ternate Hotel
485,Sao Jose Da Coroa Grande,BR,78.65600000000003,-8.8978,-35.1478,Crôa Mares Hotel
486,Kavieng,PG,85.56799999999998,-2.5744,150.7967,Nusa Island Retreat
489,Campo Maior,BR,77.28800000000004,-4.8278,-42.1686,Elite Hotel
493,Vaitape,PF,81.31999999999996,-16.5167,-151.75,Conrad Bora Bora Nui
495,Santa Cruz Do Sul,BR,76.04600000000005,-29.7175,-52.4258,Hotel Antonio's
500,Port Moresby,PG,82.09399999999997,-9.4431,147.1797,Lamana Hotel (Port Moresby)
504,Enid,US,79.28599999999997,36.3956,-97.8784,Ramada by Wyndham Enid
506,Mattru,SL,77.80999999999997,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
507,Cayenne,GF,82.36400000000003,4.9333,-52.3333,Hôtel Le Dronmi
510,Iracoubo,GF,79.23200000000003,5.4802,-53.2011,Le Gîte d’Iracoubo
515,Saint Andrews,US,76.85600000000002,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
517,Lagunas,PE,76.81999999999996,-5.2269,-75.6753,Hospedaje Eco
520,Truth Or Consequences,US,88.43000000000004,33.1284,-107.2528,Charles Motel
525,Tiarei,PF,84.48800000000006,-17.5333,-149.3333,Le Rocher de Tahiti
528,Alvaraes,BR,86.14399999999998,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
530,Noumea,NC,77.26999999999995,-22.2763,166.4572,Hôtel Le Lagon
539,Tautira,PF,80.34800000000003,-17.7333,-149.15,Pension Oaoa
543,Bachaquero,VE,80.74399999999997,9.9694,-71.1494,casa de los dinosaurios
545,Houma,US,80.29399999999998,29.5958,-90.7195,Courtyard by Marriott Houma
547,Trinidad,BO,88.05199999999998,-14.8333,-64.9,Hotel Piesta
548,Kencong,ID,76.02799999999996,-8.2833,113.3667,GUBUK SUGIANTO
553,Ugoofaaru,MV,84.308,5.6667,73.0,Ungoofaaru Inn
555,Mexico,PH,80.58200000000002,15.0646,120.7198,stone place
564,Alta Floresta,BR,77.18000000000004,-9.8756,-56.0861,Floresta Amazonica Hotel
567,Jieshi,CN,76.1,22.8134,115.8257,Yuehai Hotel
572,Kloulklubed,PW,75.97400000000002,7.0419,134.2556,Storyboard Beach Resort
584,Pundaguitan,PH,80.00600000000003,6.3711,126.1689,Leonardo Family Beach House 1
