City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Carnarvon,AU,2022-04-27 22:20:31,-24.8667,113.6333,287.19,94,9,3.09
202,Mongu,ZM,2022-04-27 22:29:09,-15.2484,23.1274,292.79,73,53,3.33
203,Saskylakh,RU,2022-04-27 22:28:17,71.9167,114.0833,254.93,100,95,1.75
204,Las Vegas,US,2022-04-27 22:24:16,36.175,-115.1372,305.43,13,0,7.72
205,Butaritari,KI,2022-04-27 22:22:09,3.0707,172.7902,300.48,81,33,7.12
206,Honiara,SB,2022-04-27 22:29:10,-9.4333,159.95,301.38,78,90,0.96
207,Kushiro,JP,2022-04-27 22:29:11,42.975,144.3747,283.68,32,20,6.69
208,Lewistown,US,2022-04-27 22:29:12,40.5992,-77.5714,278.81,79,100,4.63
209,Mahibadhoo,MV,2022-04-27 22:29:12,3.7833,72.9667,301.99,71,85,2.32
210,Tura,IN,2022-04-27 22:29:13,25.5198,90.2201,294.49,85,0,0.42
211,The Valley,AI,2022-04-27 22:29:13,18.217,-63.0578,298.61,62,35,6.12
212,Tessalit,ML,2022-04-27 22:29:13,20.1986,1.0114,298.8,12,0,3.62
213,Manggar,ID,2022-04-27 22:29:14,-2.8833,108.2667,299.62,87,88,2.06
214,Kokstad,ZA,2022-04-27 22:29:14,-30.5472,29.4241,279.46,93,0,2.06
215,Doka,SD,2022-04-27 22:29:15,13.5167,35.7667,305.11,9,11,5.48
216,Port Macquarie,AU,2022-04-27 22:28:03,-31.4333,152.9167,292.53,91,87,2.87
217,Pangai,TO,2022-04-27 22:29:16,-19.8,-174.35,300.21,44,20,7.2
218,Dwarka,IN,2022-04-27 22:29:16,22.2394,68.9678,300.74,78,0,4.58
219,The Pas,CA,2022-04-27 22:29:16,53.8251,-101.2541,277.88,65,89,5.95
220,Nanortalik,GL,2022-04-27 22:29:17,60.1432,-45.2371,277.28,86,100,3.96
221,Bugulma,RU,2022-04-27 22:29:17,54.55,52.8,286.36,90,100,6.04
222,Valday,RU,2022-04-27 22:29:18,57.9747,33.2525,271.04,76,35,1.62
223,Hoa Binh,VN,2022-04-27 22:29:18,20.8133,105.3383,299.51,93,99,1.03
224,San Quintin,MX,2022-04-27 22:29:19,30.4833,-115.95,291.42,65,0,7.29
225,Cooma,AU,2022-04-27 22:29:20,-36.2333,149.1333,286.02,100,100,3.09
226,Port Blair,IN,2022-04-27 22:30:20,11.6667,92.75,301.4,81,99,1.41
227,Rawson,AR,2022-04-27 22:30:21,-43.3002,-65.1023,281.82,51,100,8.91
228,Ler,SS,2022-04-27 22:30:21,8.3018,30.1418,301.22,53,89,2.24
229,Griffith,US,2022-04-27 22:30:22,41.5284,-87.4237,277.26,72,75,5.14
230,Qaanaaq,GL,2022-04-27 22:30:22,77.484,-69.3632,264.71,73,37,3.06
231,Ketchikan,US,2022-04-27 22:30:23,55.3422,-131.6461,283.41,62,40,3.09
232,Olafsvik,IS,2022-04-27 22:30:23,64.8945,-23.7142,279.35,73,58,1.29
233,Kahului,US,2022-04-27 22:26:03,20.8947,-156.47,300.16,68,40,8.75
234,Mabay,PH,2022-04-27 22:30:24,6.0577,124.4666,299.83,82,100,1.33
235,Jaynagar-Majilpur,IN,2022-04-27 22:30:25,22.1758,88.4178,299.32,91,2,2.09
236,Russell,US,2022-04-27 22:30:25,32.3502,-85.1999,299.24,29,0,2.57
237,Rocha,UY,2022-04-27 22:28:26,-34.4833,-54.3333,286.36,88,2,2.56
238,Minab,IR,2022-04-27 22:30:26,27.1467,57.0801,299.33,50,62,0.0
239,Bonnyville,CA,2022-04-27 22:30:26,54.2668,-110.735,277.77,91,100,1.96
240,Toucheng,TW,2022-04-27 22:30:27,24.8592,121.8233,298.77,87,40,0.43
241,Paka,MY,2022-04-27 22:30:27,4.6374,103.4368,298.14,94,44,0.0
242,Jiazi,CN,2022-04-27 22:30:28,22.8779,116.067,297.37,89,44,6.15
243,San Javier,ES,2022-04-27 22:30:29,37.8063,-0.8374,288.22,85,93,1.54
244,Geraldton,AU,2022-04-27 22:30:29,-28.7667,114.6,287.38,94,22,3.6
245,Zhezkazgan,KZ,2022-04-27 22:30:30,47.8043,67.7144,286.13,38,6,2.91
246,Hovd,MN,2022-04-27 22:30:30,48.0056,91.6419,275.15,71,100,1.25
247,Saint-Francois,FR,2022-04-27 22:30:31,46.4154,3.9054,280.84,81,0,0.51
248,Itoman,JP,2022-04-27 22:30:31,26.1247,127.6694,298.37,96,75,3.6
249,Gao,ML,2022-04-27 22:30:32,16.6362,1.637,301.36,17,19,5.32
250,Quatre Cocos,MU,2022-04-27 22:30:32,-20.2078,57.7625,295.98,81,6,1.45
251,Pervomayskoye,RU,2022-04-27 22:30:33,43.919,46.7102,287.19,69,26,2.62
252,Hamilton,US,2022-04-27 22:28:37,39.1834,-84.5333,290.62,43,0,4.12
253,Priladozhskiy,RU,2022-04-27 22:30:33,59.85,31.4833,270.11,1,10,2.25
254,Chabahar,IR,2022-04-27 22:30:34,25.2919,60.643,301.69,74,84,5.5
255,Burgeo,CA,2022-04-27 22:30:34,47.6167,-57.6152,277.7,81,100,2.79
256,Fiche,ET,2022-04-27 22:30:35,9.8,38.7333,285.73,65,67,1.03
257,Balkhash,KZ,2022-04-27 22:30:35,46.844,74.9804,285.11,47,2,3.87
258,Tuktoyaktuk,CA,2022-04-27 22:22:10,69.4541,-133.0374,260.15,85,100,2.57
259,Port Alfred,ZA,2022-04-27 22:22:01,-33.5906,26.891,286.58,92,0,4.53
260,Aksarka,RU,2022-04-27 22:30:36,66.5606,67.7975,261.28,93,39,1.46
261,Bitburg,DE,2022-04-27 22:30:37,49.9667,6.5333,283.43,66,0,3.09
262,Ostrovnoy,RU,2022-04-27 22:30:37,68.0531,39.5131,267.14,78,87,12.9
263,Bullhead City,US,2022-04-27 22:27:47,35.1478,-114.5683,308.67,9,0,10.29
264,Zhigansk,RU,2022-04-27 22:30:38,66.7697,123.3711,263.34,93,36,4.73
265,Glendive,US,2022-04-27 22:30:38,47.1053,-104.7125,286.2,51,0,4.63
266,Namibe,AO,2022-04-27 22:30:39,-15.1961,12.1522,295.31,78,0,1.1
267,Atar,MR,2022-04-27 22:30:39,20.5169,-13.0499,297.56,17,0,4.19
268,Tiksi,RU,2022-04-27 22:20:58,71.6872,128.8694,257.38,98,100,0.99
269,Luderitz,NA,2022-04-27 22:30:40,-26.6481,15.1594,291.07,55,0,2.53
270,Omboue,GA,2022-04-27 22:31:41,-1.5746,9.2618,297.89,89,99,1.03
271,Boa Vista,BR,2022-04-27 22:22:06,2.8197,-60.6733,298.14,78,40,1.54
272,Mitu,CO,2022-04-27 22:29:12,1.1983,-70.1733,298.69,89,52,1.36
273,Mutis,CO,2022-04-27 22:31:41,6.2262,-77.4044,300.18,82,53,2.75
274,Acapulco,MX,2022-04-27 22:31:07,16.8634,-99.8901,303.05,70,0,4.12
275,Bathsheba,BB,2022-04-27 22:31:42,13.2167,-59.5167,298.49,94,75,5.66
276,Oranjemund,NA,2022-04-27 22:31:43,-28.55,16.4333,287.57,77,0,1.62
277,Macamic,CA,2022-04-27 22:31:43,48.7502,-78.9996,273.64,55,7,5.73
278,Cidreira,BR,2022-04-27 22:31:43,-30.1811,-50.2056,296.23,86,4,1.83
279,Semey,KZ,2022-04-27 22:31:44,50.4111,80.2275,274.27,80,0,1.0
280,Yar-Sale,RU,2022-04-27 22:31:44,66.8333,70.8333,260.69,87,27,2.88
281,Perivolion,GR,2022-04-27 22:31:45,39.4206,20.0147,291.85,66,2,1.71
282,Muncar,ID,2022-04-27 22:31:45,-8.4333,114.3333,298.0,90,100,2.63
283,Touros,BR,2022-04-27 22:31:04,-5.1989,-35.4608,299.32,83,98,4.98
284,Sao Joao Da Barra,BR,2022-04-27 22:31:46,-21.6403,-41.0511,297.77,87,10,5.26
285,Northam,GB,2022-04-27 22:31:46,51.0333,-4.2167,282.38,66,92,4.26
286,Banyo,CM,2022-04-27 22:31:47,6.75,11.8167,292.17,95,100,1.55
287,Lorengau,PG,2022-04-27 22:31:47,-2.0226,147.2712,301.97,79,81,4.64
288,La Macarena,CO,2022-04-27 22:31:48,2.1837,-73.7849,296.81,97,99,1.07
289,Hargeysa,SO,2022-04-27 22:31:48,9.56,44.065,296.09,63,19,1.75
290,Omsukchan,RU,2022-04-27 22:31:49,62.5333,155.8,266.73,91,100,4.15
291,Itanhaem,BR,2022-04-27 22:31:49,-24.1831,-46.7889,296.89,81,0,2.48
292,Kvarkeno,RU,2022-04-27 22:31:50,52.0833,59.725,285.39,59,86,4.54
293,Maragogi,BR,2022-04-27 22:31:50,-9.0122,-35.2225,298.67,82,93,2.41
