hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
217,Pangai,TO,80.97799999999997,-19.8,-174.35,Ha'apai Beach Resort
218,Dwarka,IN,81.93200000000002,22.2394,68.9678,Hotel Narayan Avezika Comfort
221,Bugulma,RU,56.04800000000003,54.55,52.8,Hotel Malai city Bugulma
223,Hoa Binh,VN,79.71799999999999,20.8133,105.3383,Hoa Dao Hotel
224,San Quintin,MX,65.15600000000003,30.4833,-115.95,Don Eddie's Sport Fishing Center
225,Cooma,AU,55.435999999999964,-36.2333,149.1333,High Country Motel
226,Port Blair,IN,83.11999999999996,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Ler,SS,82.79600000000005,8.3018,30.1418,Leer Humanitarian Hub
231,Ketchikan,US,50.73800000000004,55.3422,-131.6461,Snow's Cove Lodge
233,Kahului,US,80.88800000000005,20.8947,-156.47,Maui Seaside Hotel
234,Mabay,PH,80.29399999999998,6.0577,124.4666,Bautista Lodging House
235,Jaynagar-Majilpur,IN,79.37599999999999,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
236,Russell,US,79.23200000000003,32.3502,-85.1999,Macs
237,Rocha,UY,56.04800000000003,-34.4833,-54.3333,Hotel Arrarte
238,Minab,IR,79.39399999999998,27.1467,57.0801,Bam campground
240,Toucheng,TW,78.38599999999997,24.8592,121.8233,和風時尚VILLA會館
241,Paka,MY,77.25199999999998,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
242,Jiazi,CN,75.86600000000001,22.8779,116.067,Hotel Jin Hao
243,San Javier,ES,59.39600000000005,37.8063,-0.8374,Hotel Mar Menor
244,Geraldton,AU,57.88399999999999,-28.7667,114.6,Broadwater Mariner Resort
245,Zhezkazgan,KZ,55.63399999999999,47.8043,67.7144,Hotel Zumrat
248,Itoman,JP,77.66600000000001,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
250,Quatre Cocos,MU,73.36400000000003,-20.2078,57.7625,Sunrise Attitude Hotel
252,Hamilton,US,63.71600000000001,39.1834,-84.5333,Six Acres Bed & Breakfast
254,Chabahar,IR,83.642,25.2919,60.643,هتل گدروشیا
256,Fiche,ET,54.91400000000003,9.8,38.7333,Feezone hotel
257,Balkhash,KZ,53.79800000000003,46.844,74.9804,Family
259,Port Alfred,ZA,56.443999999999974,-33.5906,26.891,The Halyards Hotel
261,Bitburg,DE,50.774000000000015,49.9667,6.5333,Hotel Bitburg (ex-Eifelstern)
265,Glendive,US,55.75999999999998,47.1053,-104.7125,Super 8 by Wyndham Glendive
266,Namibe,AO,72.15800000000002,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Atar,MR,76.208,20.5169,-13.0499,Oumou Elghoura
270,Omboue,GA,76.80199999999998,-1.5746,9.2618,Hotel Olako
271,Boa Vista,BR,77.25199999999998,2.8197,-60.6733,Aipana Plaza Hotel
273,Mutis,CO,80.924,6.2262,-77.4044,Paraiso Escondido
274,Acapulco,MX,86.09000000000003,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Bathsheba,BB,77.88200000000002,13.2167,-59.5167,Atlantis Hotel
278,Cidreira,BR,73.81400000000004,-30.1811,-50.2056,Hotel Castelo
281,Perivolion,GR,65.93000000000004,39.4206,20.0147,Santa Maria
282,Muncar,ID,77.0,-8.4333,114.3333,Zaky Homestay
283,Touros,BR,79.37599999999999,-5.1989,-35.4608,INN NEW HORIZON
284,Sao Joao Da Barra,BR,76.58599999999997,-21.6403,-41.0511,Pousada Porto De Canoas
286,Banyo,CM,66.50600000000003,6.75,11.8167,Motel JOMBA
287,Lorengau,PG,84.14600000000004,-2.0226,147.2712,Lorengau Harbourside Hotel
288,La Macarena,CO,74.858,2.1837,-73.7849,Hotel Punto Verde
289,Hargeysa,SO,73.56199999999995,9.56,44.065,City Center Hotel
291,Itanhaem,BR,75.00199999999998,-24.1831,-46.7889,Prainha Residência Artística
292,Kvarkeno,RU,54.30199999999998,52.0833,59.725,"Ooo ""Kvarkeno"""
293,Maragogi,BR,78.20600000000003,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
295,Moindou,NC,75.59600000000006,-21.6924,165.677,Equi-lodge de Moindou
296,Kamaishi,JP,52.64600000000005,39.2667,141.8833,Hotel Route Inn Kamaishi
298,Pemangkat,ID,78.09800000000003,1.1667,108.9667,Ramah Kost KITA
299,Kaeo,NZ,62.00600000000003,-35.1,173.7833,Bushido Lodge
300,Whitianga,NZ,61.7,-36.8333,175.7,Beachside Resort Whitianga
303,Daru,PG,81.78800000000004,-9.0763,143.2092,Daru Lodge
304,Vila Franca Do Campo,PT,67.45999999999998,37.7167,-25.4333,Pestana Bahia Praia
307,Gouyave,GD,78.04399999999998,12.1646,-61.7296,Rumboat Retreat
309,Namatanai,PG,84.93800000000005,-3.6667,152.4333,Seagulls Inn Namatani
310,Hami,CN,58.04600000000005,42.8,93.45,Laoyutang Resort
311,Grand-Santi,GF,75.81199999999995,4.25,-54.3833,Hotel La Villa Couacou
312,Kendari,ID,74.67799999999997,-3.945,122.4989,Hotel Wixel
314,Bingol,TR,55.77799999999996,38.8847,40.4939,Vali Konağı
316,Pimentel,PE,72.15800000000002,-6.8367,-79.9342,Hotel Puerto del Sol
320,Terme,TR,51.998000000000026,41.2092,36.9739,OTEL GÜVEN TERME
322,Vetralla,IT,56.53399999999999,42.3098,12.0784,Ristorante Dal Sor Francesco Locanda B&B
323,Toyooka,JP,56.3,35.5333,134.8333,O Hotel Toyooka
324,Nelson Bay,AU,70.358,-32.7167,152.15,Mantra Nelson Bay
325,Nikolayevka,RU,50.75600000000003,53.1257,47.2041,"Hotel ""Prestige"""
326,Cabo San Lucas,MX,92.76799999999999,22.8909,-109.9124,Hotel Tesoro Los Cabos
327,Saint-Philippe,RE,73.25600000000003,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
330,Sweetwater,US,82.66999999999996,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
332,Seminole,US,88.60999999999999,28.7086,-81.2081,Ono Hot Dog Cart and Catering
334,Bonthe,SL,80.708,7.5264,-12.505,Bonthe Holiday Village
335,Ginda,IN,61.411999999999956,30.6945,78.4932,Sunil Bisht
336,Gwanda,ZW,61.46600000000001,-20.9333,29.0,Mafax Homeways
337,Porto De Moz,BR,77.0,-1.7483,-52.2383,Dormitório labelle
339,Liberty,US,77.37799999999996,31.8335,-81.5004,Sasser’s Mobile Home Park
340,Chandbali,IN,77.84600000000006,20.7833,86.7667,Sabitri Bhavan
342,Porac,PH,78.476,15.1,120.5,Poracay Resort
343,Mizan Teferi,ET,61.86199999999995,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
345,Roxana,CR,79.30399999999995,10.2753,-83.7513,3BYES1
346,Bandarbeyla,SO,81.82400000000001,9.4942,50.8122,JABIR HOTEL
348,Itarema,BR,79.44800000000004,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
349,Meridian,US,65.65999999999998,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
352,Quincy,US,53.977999999999966,42.2529,-71.0023,Marriott Boston Quincy
353,Lakes Entrance,AU,64.43599999999998,-37.8811,147.981,The Esplanade Resort & Spa
354,Tucuman,AR,64.66999999999996,-26.8241,-65.2226,Dallas Hotel Tucuman
355,Bhuj,IN,78.74600000000005,23.2667,69.6667,Regenta Resort Bhuj
357,Camacha,PT,58.693999999999974,33.0833,-16.3333,Hotel Porto Santo & Spa
358,La Palma,US,82.02200000000005,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
360,Soyo,AO,78.22400000000002,-6.1349,12.3689,Hotel Mpampa
362,Lascahobas,HT,76.51400000000004,18.8294,-71.9364,oasisinn lascahobas
363,Cortez,US,74.42599999999999,37.3489,-108.5859,Sand Canyon National 9 Inn
364,San Patricio,US,84.434,28.017,-97.5169,"Motel 6 Sinton, TX"
365,Fairbanks,US,53.83399999999999,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
367,Fort-Shevchenko,KZ,66.65,44.5086,50.263,Oasis hotel Bautino
